ID,sub_distance,POI200,POI400-200,POI800-400,200Sum_BldgAr,Sum_Blgd_400-200,Sum_Blgd_800-400,fra_comm,fra_res,fra_off,fra_reta,pop,housing_un,HH_low,HH_medium,HH_high,employment
3387,353.46,25,46,169,4192243,8778545,20235614,0.30557463,0.680358023,0.053372931,0.034671808,59794,24934,11393,7302,4179,25853
3388,547.28,4,13,44,1873201,4614731,16089860,0.297047648,0.65046241,0.056280393,0.031274006,39422,19399,4790,5973,6865,21216
3389,864.2,6,15,35,1241677,5840258,10556410,0.333994091,0.625761771,0.034841137,0.029223433,39422,19399,4790,5973,6865,21216
3390,177.56,11,64,208,3736823,8567301,25126040,0.240328976,0.75497775,0.028802572,0.044987861,59794,24934,11393,7302,4179,25853
3391,721.81,21,45,142,5015524,5668076,14530275,0.247259773,0.748032304,0.021151727,0.041423581,59794,24934,11393,7302,4179,25853
3392,1286,1,7,70,3065480,1310406,8560003,0.481700794,0.497378727,0.019324841,0.028649519,39422,19399,4790,5973,6865,21216
3393,1136.62,2,19,65,1070382,5884806,8137117,0.516581397,0.45842865,0.021425356,0.048746364,39422,19399,4790,5973,6865,21216
3394,925.03,15,27,41,2771474,1572461,10135236,0.478301209,0.497336346,0.024350289,0.05465451,39422,19399,4790,5973,6865,21216
3395,597.67,14,26,44,2011272,3103832,9379389,0.411322148,0.558462997,0.037976492,0.071678809,39422,19399,4790,5973,6865,21216
3396,448.95,1,14,71,1529956,4872627,11373900,0.288205659,0.664544275,0.037788521,0.051668263,39422,19399,4790,5973,6865,21216
3397,205.26,4,9,68,1410777,4147469,10338508,0.354969386,0.601765052,0.052226574,0.049072219,39422,19399,4790,5973,6865,21216
3398,35.39,3,13,59,941922,4119735,10181377,0.439917867,0.521889015,0.056209413,0.06270169,39422,19399,4790,5973,6865,21216
3399,231.75,3,10,44,1642084,3709580,14041592,0.369811908,0.570066161,0.061652515,0.07026917,72864,33650,4707,11303,15058,45322
3400,348.07,16,63,154,5066401,6455867,23599796,0.285545576,0.709713985,0.033730022,0.047127526,59794,24934,11393,7302,4179,25853
3401,462.42,2,5,42,1537257,2570757,14080811,0.427740989,0.53419454,0.056320515,0.074693665,72864,33650,4707,11303,15058,45322
3402,240.23,6,25,134,5426167,10775000,37647495,0.481957435,0.475798749,0.297075831,0.075527336,23498,12735,1940,3454,5952,14060
3403,2.73,5,3,49,1757069,4773595,14667788,0.34693538,0.596049089,0.057934938,0.073196901,72864,33650,4707,11303,15058,45322
3404,306.51,2,18,45,2005928,4886338,17852920,0.29278317,0.639263896,0.062435174,0.058642881,72864,33650,4707,11303,15058,45322
3405,339.22,2,26,42,2066199,6052134,18757763,0.209753939,0.713106844,0.04873338,0.048339089,72864,33650,4707,11303,15058,45322
3407,467.12,4,18,55,1119049,3951217,16542722,0.332306713,0.610197813,0.061059535,0.051331218,72864,33650,4707,11303,15058,45322
3408,454.36,3,17,95,2315869,5931605,29463661,0.389593684,0.556307547,0.215161888,0.069803362,39422,19399,4790,5973,6865,21216
3409,3.64,3,30,96,2345490,7307094,34824028,0.427279758,0.508595192,0.243682163,0.092244526,35373,17033,4840,4434,5811,18202
3410,269.29,4,27,117,2386781,9728147,33295308,0.487580884,0.451350748,0.264038993,0.094873323,35373,17033,4840,4434,5811,18202
3411,396.56,7,33,91,1989477,5758054,31477503,0.445181717,0.497727013,0.17694404,0.116495272,35373,17033,4840,4434,5811,18202
3412,324.76,10,21,107,2377889,10745627,28028070,0.472071089,0.477229869,0.183739771,0.120868489,35373,17033,4840,4434,5811,18202
3413,388.09,10,16,83,2376142,5033091,28336535,0.386231931,0.550718703,0.113203163,0.088132922,35373,17033,4840,4434,5811,18202
3414,17.92,4,13,72,5824221,6623699,21649226,0.306297483,0.612205813,0.080605251,0.074162365,72864,33650,4707,11303,15058,45322
3415,137.91,4,16,55,2054743,9147968,22570539,0.275391412,0.639122797,0.06850312,0.070838459,20449,10271,2088,3472,3834,12988
3416,51.89,3,15,56,2020477,5865507,25975068,0.23446265,0.680682543,0.047624155,0.063775012,20449,10271,2088,3472,3834,12988
3417,326.66,5,7,69,2049806,6234181,23669069,0.313234327,0.62471261,0.057359647,0.07569711,72864,33650,4707,11303,15058,45322
3418,14.34,4,16,50,2586724,6106396,20031155,0.181091046,0.748202174,0.036131042,0.035226685,72864,33650,4707,11303,15058,45322
3419,257.55,1,10,88,1968305,5258696,23310745,0.329393008,0.610877469,0.052570645,0.081654488,72864,33650,4707,11303,15058,45322
3420,310,2,15,81,1810762,4223926,19507278,0.344187366,0.597761151,0.078542701,0.068760173,72864,33650,4707,11303,15058,45322
3422,932.82,3,12,46,1901423,2823830,11708857,0.36122449,0.594402313,0.060548883,0.032839259,39422,19399,4790,5973,6865,21216
3423,23.09,2,10,38,1445819,3329790,9408359,0.184700783,0.743169753,0.037871842,0.026686185,416,181,36,102,32,218
3424,243.34,15,65,213,3842052,9047732,28360214,0.30883473,0.681624203,0.045614475,0.031596341,59794,24934,11393,7302,4179,25853
3425,406.18,23,62,161,3747539,11409412,26626375,0.304515825,0.683626502,0.044153498,0.032362431,59794,24934,11393,7302,4179,25853
3427,75.38,11,19,195,6452596,17926423,42759680,0.443250636,0.444994831,0.192357064,0.127129958,40059,22289,4538,4813,9410,24173
3427,75.38,11,19,195,6452596,17926423,42759680,0.443250636,0.444994831,0.192357064,0.127129958,40059,22289,4538,4813,9410,24173
3429,9.61,11,22,76,5509060,9078722,24097479,0.379421636,0.538203193,0.091071507,0.08988506,26982,13108,4424,3753,3383,13331
3430,487.04,1,22,39,1888372,3168769,12044722,0.257836588,0.712936772,0.021534028,0.042496657,33155,15814,6144,5763,2981,18002
3431,364.81,8,44,219,7553980,30506085,83669658,0.564003255,0.323742698,0.450672076,0.04760673,49515,30756,5216,8600,12357,31959
3432,403.84,2,6,30,1199655,3265095,11035239,0.488446476,0.463983039,0.061162431,0.086203029,72864,33650,4707,11303,15058,45322
3434,150.05,10,28,146,8197569,11501783,30129721,0.113410839,0.844886779,0.00724286,0.027953159,135718,75158,15993,19298,31650,76267
3435,215.62,15,33,131,4039296,12271112,153668037,0.192937881,0.162298626,0.085889937,0.051286797,40059,22289,4538,4813,9410,24173
3437,383.02,11,25,95,3706143,9797217,29762728,0.1083795,0.847180106,0.00499123,0.02608142,135718,75158,15993,19298,31650,76267
3440,61.8,12,66,108,8785157,16555833,32305973,0.484914947,0.457929258,0.296224243,0.073025599,35373,17033,4840,4434,5811,18202
3441,255.32,8,16,89,12843613,40019071,8449891,0.624897486,0.298908911,0.295655891,0.057045149,69299,44737,9329,10929,18814,44286
3443,91.85,13,51,225,27610479,35310922,106588876,0.720717854,0.14705719,0.593045878,0.081273532,28228,21396,3859,3286,8819,17906
3449,344.08,5,19,41,1395578,3461231,16704699,0.264267601,0.703346909,0.038236194,0.067889547,31522,17302,4629,6638,3857,19849
3452,491.7,11,17,45,1320950,3487601,16684613,0.225519053,0.738411618,0.03027772,0.071959671,46070,20944,7340,7001,4831,25281
3453,57.79,1,10,86,1659122,5247757,17806721,0.209216464,0.766043757,0.028896397,0.065258845,33155,15814,6144,5763,2981,18002
3454,416.88,9,21,72,2002507,4824859,18769403,0.219197118,0.736638831,0.025492124,0.055599791,33155,15814,6144,5763,2981,18002
3456,243.32,3,13,65,1517299,4676677,16577949,0.185144602,0.782249942,0.022326659,0.062686795,33155,15814,6144,5763,2981,18002
3457,163.65,19,44,194,15026246,30288260,89910326,0.633603738,0.263311823,0.502566178,0.07603738,28228,21396,3859,3286,8819,17906
3458,54.05,12,46,198,19760797,37629230,92851095,0.681124426,0.192321088,0.545749133,0.08521436,28228,21396,3859,3286,8819,17906
3459,16.53,15,48,251,17939917,26642544,100795699,0.63007482,0.296031715,0.515310161,0.070553073,48393,36964,4493,8741,15860,32369
3461,186.68,10,40,130,11206578,33414349,159018475,0.315774493,0.153257192,0.232297323,0.021787954,40059,22289,4538,4813,9410,24173
3462,370.58,79,97,178,13586229,30102014,76985515,0.586160307,0.271400871,0.523986947,0.031670299,48393,36964,4493,8741,15860,32369
3463,175.05,19,38,166,6879609,17045469,70752789,0.417195732,0.534364404,0.240778639,0.076218637,26075,17277,2701,4875,7301,16922
3466,136.51,31,62,222,19635151,42020047,119919787,0.809026381,0.065629927,0.677751217,0.077612315,28228,21396,3859,3286,8819,17906
3467,218.32,2,24,136,5019129,16051114,55806753,0.495328199,0.365461028,0.28954603,0.098734659,40059,22289,4538,4813,9410,24173
3467,218.32,2,24,136,5019129,16051114,55806753,0.495328199,0.365461028,0.28954603,0.098734659,40059,22289,4538,4813,9410,24173
